"STUDYID","StudySpecies","USUBJID","Treatment","TreatmentDose","TRTDOSrank","MISTRESC","Count","SPECIES","Present"
"Study ID","Study ID (MONKEY)","Study ID-1002","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0.5,"MONKEY",1
"Study ID","Study ID (MONKEY)","Study ID-1004","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0.5,"MONKEY",1
"Study ID","Study ID (MONKEY)","Study ID-2002","Compound-1","Compound-1 12 mg/kg","Treatment Max","Normal",0.5,"MONKEY",1
"Study ID","Study ID (MONKEY)","Study ID-2004","Compound-1","Compound-1 12 mg/kg","Treatment Max","Normal",0.5,"MONKEY",1
"Study ID","Study ID (MONKEY)","Study ID-3002","Compound-1; Compound-2","Compound-1; Compound-2 0; 4 mg/kg","Treatment LD","Normal",0.5,"MONKEY",1
"Study ID","Study ID (MONKEY)","Study ID-3004","Compound-2; Compound-1","Compound-2; Compound-1 4; 0 mg/kg","Treatment LD","Infiltration",0.5,"MONKEY",1
"Study ID","Study ID (MONKEY)","Study ID-4002","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Aggregates",0.5,"MONKEY",1
"Study ID","Study ID (MONKEY)","Study ID-4004","Compound-2; Compound-1","Compound-2; Compound-1 8; 0 mg/kg","Treatment HD","Normal",0.5,"MONKEY",1
"Study ID","Study ID (MONKEY)","Study ID-5002","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Necrosis",0.333333333333333,"MONKEY",1
"Study ID","Study ID (MONKEY)","Study ID-5002","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Aggregates",0.333333333333333,"MONKEY",1
"Study ID","Study ID (MONKEY)","Study ID-5004","Compound-3; Compound-1","Compound-3; Compound-1 6; 0 mg/kg","Treatment MD","Normal",0.333333333333333,"MONKEY",1
"PDS2014","PDS2014 (RAT)","PDS2014-0101","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0102","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0103","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0104","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0105","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0106","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0107","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Inflammation",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0107","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0107","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0108","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0109","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0110","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Aggregates",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0110","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Necrosis",0.0769230769230769,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0121","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Aggregates",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0122","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Aggregates",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0123","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0124","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0125","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Aggregates",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0126","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Aggregates",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0127","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0128","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Vacuolization",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0129","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Aggregates",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0130","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 20 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0141","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Normal",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0142","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Aggregates",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0143","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Normal",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0144","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Normal",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0145","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Aggregates",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0146","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Necrosis",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0147","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Aggregates",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0148","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Aggregates",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0149","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Aggregates",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0150","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 200 mg/kg","Treatment MD","Normal",0.1,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0161","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 400 mg/kg","Treatment HD","Hypertrophy",0.0909090909090909,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0162","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 400 mg/kg","Treatment HD","Normal",0.0909090909090909,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0163","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 400 mg/kg","Treatment HD","Hypertrophy",0.0909090909090909,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0163","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 400 mg/kg","Treatment HD","Aggregates",0.0909090909090909,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0164","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 400 mg/kg","Treatment HD","Vacuolization",0.0909090909090909,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0165","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 400 mg/kg","Treatment HD","Vacuolization",0.0909090909090909,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0166","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 400 mg/kg","Treatment HD","Aggregates",0.0909090909090909,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0167","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 400 mg/kg","Treatment HD","Normal",0.0909090909090909,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0168","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 400 mg/kg","Treatment HD","Vacuolization",0.0909090909090909,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0169","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 400 mg/kg","Treatment HD","Hypertrophy",0.0909090909090909,"RAT",1
"PDS2014","PDS2014 (RAT)","PDS2014-0170","PDS-FAKEDRUG-111","PDS-FAKEDRUG-111 400 mg/kg","Treatment HD","Normal",0.0909090909090909,"RAT",1
"GLP003","GLP003 (RAT)","107001499","XYZ-12345","XYZ-12345 6 mg/kg","Treatment LD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001500","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001504","XYZ-12345","XYZ-12345 60 mg/kg","Treatment HD","Normal",0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001505","XYZ-12345","XYZ-12345 6 mg/kg","Treatment LD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001508","XYZ-12345","XYZ-12345 20 mg/kg","Treatment MD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001511","Negative Control","Negative Control 0 mg/kg","Vehicle","Infiltration",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001513","Negative Control","Negative Control 0 mg/kg","Vehicle","Normal",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001515","XYZ-12345","XYZ-12345 20 mg/kg","Treatment MD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001517","XYZ-12345","XYZ-12345 20 mg/kg","Treatment MD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001520","XYZ-12345","XYZ-12345 6 mg/kg","Treatment LD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001521","XYZ-12345","XYZ-12345 20 mg/kg","Treatment MD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001522","XYZ-12345","XYZ-12345 60 mg/kg","Treatment HD","Normal",0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001525","Negative Control","Negative Control 0 mg/kg","Vehicle","Normal",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001528","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001529","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001532","XYZ-12345","XYZ-12345 60 mg/kg","Treatment HD","Infiltration",0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001533","XYZ-12345","XYZ-12345 60 mg/kg","Treatment HD","Normal",0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001534","Negative Control","Negative Control 0 mg/kg","Vehicle","Normal",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001535","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001536","XYZ-12345","XYZ-12345 60 mg/kg","Treatment HD","Normal",0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001537","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001540","XYZ-12345","XYZ-12345 6 mg/kg","Treatment LD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001541","Negative Control","Negative Control 0 mg/kg","Vehicle","Infiltration",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001545","XYZ-12345","XYZ-12345 20 mg/kg","Treatment MD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001547","XYZ-12345","XYZ-12345 20 mg/kg","Treatment MD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001552","XYZ-12345","XYZ-12345 6 mg/kg","Treatment LD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001553","XYZ-12345","XYZ-12345 6 mg/kg","Treatment LD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001562","XYZ-12345","XYZ-12345 6 mg/kg","Treatment LD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001565","XYZ-12345","XYZ-12345 20 mg/kg","Treatment MD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001569","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001570","XYZ-12345","XYZ-12345 6 mg/kg","Treatment LD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001571","XYZ-12345","XYZ-12345 60 mg/kg","Treatment HD","Normal",0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001576","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001578","XYZ-12345","XYZ-12345 60 mg/kg","Treatment HD","Normal",0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001579","Negative Control","Negative Control 0 mg/kg","Vehicle","Normal",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001583","XYZ-12345","XYZ-12345 20 mg/kg","Treatment MD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001592","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Infiltration",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001602","Negative Control","Negative Control 0 mg/kg","Vehicle","Normal",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001610","XYZ-12345","XYZ-12345 60 mg/kg","Treatment HD","Infiltration",0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001616","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001617","XYZ-12345","XYZ-12345 60 mg/kg","Treatment HD","Infiltration",0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001618","XYZ-12345","XYZ-12345 6 mg/kg","Treatment LD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001620","Negative Control","Negative Control 0 mg/kg","Vehicle","Infiltration",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001627","XYZ-12345","XYZ-12345 20 mg/kg","Treatment MD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001629","Negative Control","Negative Control 0 mg/kg","Vehicle","Normal",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001631","XYZ-12345","XYZ-12345 6 mg/kg","Treatment LD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001633","XYZ-12345","XYZ-12345 60 mg/kg","Treatment HD","Infiltration",0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001641","Negative Control","Negative Control 0 mg/kg","Vehicle","Infiltration",0.05,"RAT",1
"GLP003","GLP003 (RAT)","107001643","XYZ-12345","XYZ-12345 20 mg/kg","Treatment MD",NA,0.1,"RAT",1
"GLP003","GLP003 (RAT)","107001647","Vehicle Control","Vehicle Control 0 mg/kg","Vehicle","Normal",0.05,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-1101","Vehicle","Vehicle 0 mg/kg","Vehicle","Normal",0.0909090909090909,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-1102","Vehicle","Vehicle 0 mg/kg","Vehicle","Normal",0.0909090909090909,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-1102","Vehicle","Vehicle 0 mg/kg","Vehicle","Normal",0.0909090909090909,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-1103","Vehicle","Vehicle 0 mg/kg","Vehicle","Normal",0.0909090909090909,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-1104","Vehicle","Vehicle 0 mg/kg","Vehicle","Normal",0.0909090909090909,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-1105","Vehicle","Vehicle 0 mg/kg","Vehicle","Normal",0.0909090909090909,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-1106","Vehicle","Vehicle 0 mg/kg","Vehicle","Normal",0.0909090909090909,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-1107","Vehicle","Vehicle 0 mg/kg","Vehicle","Normal",0.0909090909090909,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-1108","Vehicle","Vehicle 0 mg/kg","Vehicle","Normal",0.0909090909090909,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-1109","Vehicle","Vehicle 0 mg/kg","Vehicle","Normal",0.0909090909090909,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-1110","Vehicle","Vehicle 0 mg/kg","Vehicle","Normal",0.0909090909090909,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-2101","PCDRUG","PCDRUG 2 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-2102","PCDRUG","PCDRUG 2 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-2103","PCDRUG","PCDRUG 2 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-2104","PCDRUG","PCDRUG 2 mg/kg","Treatment LD","Vacuolization",0.1,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-2105","PCDRUG","PCDRUG 2 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-2106","PCDRUG","PCDRUG 2 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-2107","PCDRUG","PCDRUG 2 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-2108","PCDRUG","PCDRUG 2 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-2109","PCDRUG","PCDRUG 2 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-2110","PCDRUG","PCDRUG 2 mg/kg","Treatment LD","Normal",0.1,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3101","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Normal",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3102","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Normal",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3103","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Necrosis",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3104","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Normal",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3105","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Normal",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3106","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Inflammation",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3107","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Necrosis",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3107","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Necrosis",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3107","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Inflammation",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3108","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Necrosis",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3109","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Normal",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-3110","PCDRUG","PCDRUG 20 mg/kg","Treatment MD","Necrosis",0.0833333333333333,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4101","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Hypertrophy",0.0769230769230769,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4102","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Hypertrophy",0.0769230769230769,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4103","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Hypertrophy",0.0769230769230769,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4103","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Necrosis",0.0769230769230769,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4104","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Hypertrophy",0.0769230769230769,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4104","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Vacuolization",0.0769230769230769,"RAT",1
"PC201708","PC201708 (RAT)","PC201708-4105","PCDRUG","PCDRUG 200 mg/kg","Treatment HD","Vacuolization",0.0769230769230769,"RAT",1
