Seq. For Order,Observation Class,Domain Prefix,"Variable Name 
(minus domain prefix)",Variable Name ,Variable Label ,Type,"Controlled Terms, Codelist, or Format ",Role,CDISC Notes ,Core
1,Findings,BG,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,BG,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,BG,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,BG,BGSEQ,BGSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,BG,BGTESTCD,BGTESTCD,Test Short Name,Char,(BGTESTCD),Topic,"Short name of the measurement, test, or examination described in BGTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in BGTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). BGTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
6,Findings,BG,BGTEST,BGTEST,Test Name,Char,(BGTEST),Synonym Qualifier,Long name for BGTESTCD. The value in BGTEST cannot be longer than 40 characters.,Req
7,Findings,BG,BGORRES,BGORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally recorded.,Exp
8,Findings,BG,BGORRESU,BGORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Exp
9,Findings,BG,BGSTRESC,BGSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings or derived from BGORRES in a standard format or standard units. BGSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in BGSTRESN.",Exp
10,Findings,BG,BGSTRESN,BGSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for results or findings in standard format; contains the numeric form of BGSTRESC. BGSTRESN should store all numeric test results or findings.,Exp
11,Findings,BG,BGSTRESU,BGSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for BGSTRESC or BGSTRESN.,Exp
12,Findings,BG,BGSTAT,BGSTAT,Examination Status,Char,(ND),Record Qualifier,Used to indicate when a result is missing. Should be null if a result exists in BGORRES.,Perm
13,Findings,BG,BGREASND,BGREASND,Reason Not Done,Char,,Record Qualifier,"Describes why BGSTAT is NOT DONE, such as MISSING BODY WEIGHT.",Perm
14,Findings,BG,BGEXCLFL,BGEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
15,Findings,BG,BGREASEX,BGREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when BGEXCLFL is Y.,Perm
16,Findings,BG,BGDTC,BGDTC,Date/Time Animal Weighed,Char,ISO 8601,Timing,Date/time of the start of the weight interval in ISO 8601 format. This must be populated when BGTESTCD is BWGAINA.,Exp
17,Findings,BG,BGENDTC,BGENDTC,End Date/Time Animal Weighed,Char,ISO 8601,Timing,Date/time of the end of the weight interval in ISO 8601 format. This must be populated when BGTESTCD is BWGAINA.,Exp
18,Findings,BG,BGDY,BGDY,Study Day Animal Weighed,Num,,Timing,"Study day of the start of the weight interval, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
19,Findings,BG,BGENDY,BGENDY,Study Day of End of Weight Interval,Num,,Timing,"Study day of the end of the weight interval, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
20,Findings,BG,BGELTM,BGELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned Elapsed time (in ISO 8601) relative to a planned fixed reference (BGTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Examples: “-PT15M” to represent the period of 15 minutes prior to the reference point indicated by BGTPTREF, or “PT8H” to represent the period of 8 hours after the reference point indicated by BGTPTREF.",Perm
21,Findings,BG,BGTPTREF,BGTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by BGELTM. Examples: START OF WEEK ONE, START OF MONTH ONE.",Perm
22,Findings,BG,BGRFTDTC,BGRFTDTC,Date/Time of Reference Time Point,Char,ISO 8601,Timing,Date/time of the reference time point defined by BGTPTREF.,Perm
1,Findings,BW,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,BW,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,BW,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,BW,BWSEQ,BWSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,BW,BWTESTCD,BWTESTCD,Test Short Name,Char,(BWTESTCD),Topic,"Short name of the measurement, test, or examination described in BWTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in BWTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). BWTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
6,Findings,BW,BWTEST,BWTEST,Test Name,Char,(BWTEST),Synonym Qualifier,Long name for BWTESTCD. The value in BWTEST cannot be longer than 40 characters.,Req
7,Findings,BW,BWORRES,BWORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
8,Findings,BW,BWORRESU,BWORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Exp
9,Findings,BW,BWSTRESC,BWSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings or derived from BWORRES in a standard format or standard units. BWSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in BWSTRESN.",Exp
10,Findings,BW,BWSTRESN,BWSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for results or findings in standard format; contains the numeric format of BWSTRESC. BWSTRESN should store all numeric test results or findings.,Exp
11,Findings,BW,BWSTRESU,BWSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for BWSTRESC and BWSTRESN.,Exp
12,Findings,BW,BWSTAT,BWSTAT,Examination Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in BWORRES.,Perm
13,Findings,BW,BWREASND,BWREASND,Reason Not Done,Char,,Record Qualifier,"Describes why BWSTAT is NOT DONE, such as BROKEN EQUIPMENT or TECHNICIAN OVERSIGHT.",Perm
