Seq. For Order,Observation Class,Domain Prefix,"Variable Name 
(minus domain prefix)",Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,"CDISC Notes (for domains)
Description (for General Classes)",Core
1,Special-Purpose,DM,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Special-Purpose,DM,DOMAIN,DOMAIN,Domain Abbreviation,Char,DM,Identifier,Two-character abbreviation for the domain.,Req
3,Special-Purpose,DM,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Special-Purpose,DM,SUBJID,SUBJID,Subject Identifier for the Study,Char,,Topic,"Subject (i.e., Animal) identifier used within the study.",Req
5,Special-Purpose,DM,RFSTDTC,RFSTDTC,Subject Reference Start Date/Time,Char,ISO 8601,Record Qualifier,Reference start date/time for the subject in ISO 8601 format. Usually equivalent to date/time when subject was first exposed to study treatment. Study day calculation (the --DY variable) in all domains will be based on this date. The sponsor must define what collected date is used to populate RFSTDTC in the data definition file.,Req
6,Special-Purpose,DM,RFENDTC,RFENDTC,Subject Reference End Date/Time,Char,ISO 8601,Record Qualifier,Reference end date/time for the subject in ISO 8601 format. Usually equivalent to the date/time when the subject was determined to have left the study. The sponsor must define what collected date is used to populate RFENDTC in the data definition file.,Exp
7,Special-Purpose,DM,RFXSTDTC,RFXSTDTC,Date/Time of First Study Treatment,Char,ISO 8601,Record Qualifier,"First date/time of exposure to any protocol-specified treatment or therapy, equal to the earliest value of EXSTDTC. Note: Absolute first.",Perm
8,Special-Purpose,DM,RFXENDTC,RFXENDTC,Date/Time of Last Study Treatment,Char,ISO 8601,Record Qualifier,"Last date/time of exposure to any protocol-specified treatment or therapy, equal to the latest value of EXENDTC (or the latest value of EXSTDTC if EXENDTC was not collected or is missing). Note: Absolute last",Perm
9,Special-Purpose,DM,SITEID,SITEID,Study Site Identifier,Char,,Record Qualifier,Unique identifier for a study site within a submission. Use only if subjects are housed at different sites.,Perm
10,Special-Purpose,DM,BRTHDTC,BRTHDTC,Date/Time of Birth,Char,ISO 8601,Record Qualifier,"Date/Time of birth of the subject, in ISO 8601 format.",Perm
11,Special-Purpose,DM,AGE,AGE,Age,Num,,Record Qualifier,"May be derived (RFSTDTC - BRTHDTC), but BRTHDTC may not be available in all cases. Age may also be collected.",Perm
12,Special-Purpose,DM,AGETXT,AGETXT,Age Range,Char,number-number,Record Qualifier,"Used when the age is a range and the exact birthdate is not known. This variable is a character field for the purposes of defining age ranges, e.g., if the information available for the age of the subject is 6-8 and AGEU is WEEKS. Populate only when BRTHDTC or AGE is not specified. The format for AGETXT is ""number-number"" (e.g., 6-8).",Perm
13,Special-Purpose,DM,AGEU,AGEU,Age Unit,Char,(AGEU),Variable Qualifier,Units associated with AGE and AGETXT.,Exp
14,Special-Purpose,DM,SEX,SEX,Sex,Char,(SEX),Record Qualifier,The sex of the subject.,Req
15,Special-Purpose,DM,SPECIES,SPECIES,Species,Char,(SPECIES),Record Qualifier,"If this variable is excluded in the DM domain, the information must be present at a higher level (either Trial Sets or Trial Summary).",Perm
16,Special-Purpose,DM,STRAIN,STRAIN,Strain/Substrain,Char,(STRAIN),Record Qualifier,"Used to identify the vendor-supplied strain, substrain, or breed designation for the test system under study. It may combine the background strain, substrain, and associated genetic modifications as supplied by the vendor (e.g., C57BL/6, A/J, B6.129-Pparg<tm2Rev>/J, FISCHER 344, SPRAGUE-DAWLEY IGS, WISTAR Kyoto, BEAGLE, CYNOMOLGUS, and CHIMPANZEE). The SEND Controlled Terminology codelist consists of commonly used wild type strains. It is extensible to accommodate strains not listed and genetically modified substrains. If this variable is excluded in the DM domain, the information must be present at a higher level (either Trial Sets or Trial Summary). Country of origin for non-human primates should not go into STRAIN. In general, details related to coat color (e.g., White and Red designations for New Zealand Rabbits) should not go into STRAIN.",Perm
17,Special-Purpose,DM,SBSTRAIN,SBSTRAIN,Strain/Substrain Details,Char,,Record Qualifier,"Free-text field that allows the sponsor to enter further details qualifiying the SPECIES and/or STRAIN, depending on the level to which these variables were defined. Examples include the description of a specific genetic alteration, country of origin for non-human primates, details related to coat color (e.g., White and Red designations for New Zealand Rabbits), and important animal husbandry information (e.g., SPF, BR, VAF).",Perm
18,Special-Purpose,DM,ARMCD,ARMCD,Planned Arm Code,Char,,Record Qualifier,Short name for ARM (may be up to 20 characters) used for sorting and programming. Should be populated when Arms have been defined in the TA domain.,Exp
19,Special-Purpose,DM,ARM,ARM,Description of Planned Arm,Char,,Synonym Qualifier,"Descriptive name given to a specific Trial Arm (e.g., Low Dose, Mid Dose, 10 mg/kg/day dose, Third Arm) to which the subject was assigned.",Perm
20,Special-Purpose,DM,SETCD,SETCD,Set Code,Char,,Record Qualifier,"Short name of a specific Trial Set to which the subject was assigned, as defined by the sponsor. Maximum of 8 characters. This represents the Trial Set for which parameters are being submitted.",Req
1,Special-Purpose,CO,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Special-Purpose,CO,DOMAIN,DOMAIN,Domain Abbreviation,Char,CO,Identifier,Two-character abbreviation for the domain.,Req
3,Special-Purpose,CO,RDOMAIN,RDOMAIN,Related Domain Abbreviation,Char,,Record Qualifier,Domain abbreviation of the parent record(s). Null for comments collected as a general comment or additional information.,Exp
4,Special-Purpose,CO,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated unless the record contains a study comment unrelated to a USUBJID or POOLID.,Exp
5,Special-Purpose,CO,POOLID,POOLID,Pool Identifier,Char,,Identifier,Identifier used for pooled subjects to assign a single result to multiple subjects. Either USUBJID or POOLID must be populated unless the record contains a study comment unrelated to a USUBJID or POOLID.,Perm
6,Special-Purpose,CO,SEQ,COSEQ,Sequence Number,Num,,Identifier,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",Req
7,Special-Purpose,CO,IDVAR,IDVAR,Identifying Variable,Char,,Record Qualifier,"Variable in the parent dataset that identifies the record(s) to which the comment applies, which is contained in IDVAR. Examples: BWSEQ or CLGRPID. Used only when individual comments are related to domain records.",Exp
8,Special-Purpose,CO,IDVARVAL,IDVARVAL,Identifying Variable Value,Char,,Record Qualifier,Value of identifying variable of the parent record(s). Used only when individual comments are related to domain records. Cannot be populated if IDVAR is null.,Exp
9,Special-Purpose,CO,REF,COREF,Comment Reference,Char,,Record Qualifier,"Sponsor-defined reference associated with the comment. May be the logbook page number, name (e.g., Logbook), or a combination of information that identifies the reference (e.g., Logbook, page 650, Day 28, morning).",Perm
10,Special-Purpose,CO,VAL,COVAL,Comment,Char,,Topic,The text of the comment. Text over 200 characters can be added to additional columns COVAL1-COVALn. See Assumption 4 in Section 5.2.1.1.,Req
11,Special-Purpose,CO,EVAL,COEVAL,Evaluator,Char,,Record Qualifier,"Used to describe the originator of the comment. Examples: TECHNICIAN, STUDY DIRECTOR, VET.",Perm
12,Special-Purpose,CO,DTC,CODTC,Date/Time of Comment,Char,ISO 8601,Timing,"Date/Time of the comment, in ISO 8601 format. May be null if this is a child record of another domain or if the comment date was not collected. In all other cases, this represents the date/time of the comment in ISO 8601 format.",Exp
13,Special-Purpose,CO,DY,CODY,Study Day of Comment,Num,,Timing,"Study day of the comment, in integer days. May be null if this is a child record of another domain or if the comment date was not collected. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Special-Purpose,SE,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Special-Purpose,SE,DOMAIN,DOMAIN,Domain Abbreviation,Char,SE,Identifier,Two-character abbreviation for the domain.,Req
3,Special-Purpose,SE,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Special-Purpose,SE,SEQ,SESEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a USUBJID within a domain. May be any valid number.,Req
5,Special-Purpose,SE,ETCD,ETCD,Element Code,Char,,Topic,ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions.,Req
6,Special-Purpose,SE,ELEMENT,ELEMENT,Description of Element,Char,,Synonym Qualifier,The name of the Element..,Perm
7,Special-Purpose,SE,STDTC,SESTDTC,Start Date/Time of Element,Char,ISO 8601,Timing,"Start date/time for an Element for each subject, in ISO 8601 format.",Req
8,Special-Purpose,SE,ENDTC,SEENDTC,End Date/Time of Element,Char,ISO 8601,Timing,"End date/time for an Element for each subject, in ISO 8601 format.",Exp
9,Special-Purpose,SE,UPDES,SEUPDES,Description of Unplanned Element,Char,,Synonym Qualifier,Description of what happened to the subject during an unplanned Element. Used only if ETCD has the value of UNPLAN.,Perm
1,Interventions,EX,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Interventions,EX,DOMAIN,DOMAIN,Domain Abbreviation,Char,EX,Identifier,Two-character abbreviation for the domain.,Req
3,Interventions,EX,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated.,Exp
4,Interventions,EX,POOLID,POOLID,Pool Identifier,Char,,Identifier,"Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
5,Interventions,EX,FOCID,FOCID,Focus of Study-Specific Interest,Char,,Identifier,"Identification of a focus of study-specific interest on or within a subject or specimen as defined in the protocol for which a measurement, test, or examination was performed, such as a drug application site, e.g., ""Injection site 1,"" ""Biopsy site 1,"" ""Treated site 1."" the value in this variable should have inherent semantic value.",Perm
6,Interventions,EX,SEQ,EXSEQ,Sequence Number,Num,,Identifier,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",Req
7,Interventions,EX,TRT,EXTRT,Name of Actual Treatment,Char,,Topic,"Name of the treatment, as defined by the protocol.",Req
8,Interventions,EX,DOSE,EXDOSE,Dose per Administration,Num,,Record Qualifier,Amount of treatment administered.,Exp
9,Interventions,EX,DOSTXT,EXDOSTXT,Dose Description,Char,,Record Qualifier,"If the amount of treatment administered cannot be represented as a number and populated in EXDOSE, this field is used to describe the amount of treatment administered. Example: 200-400.",Perm
10,Interventions,EX,DOSU,EXDOSU,Dose Units,Char,(UNIT),Variable Qualifier,"Units for EXDOSE or EXDOSTXT. Examples: ng, mg, or mg/kg.",Exp
11,Interventions,EX,DOSFRM,EXDOSFRM,Dose Form,Char,(FRM),Variable Qualifier,"Dose form for treatment (form administered). Examples: TABLET, LOTION.",Exp
12,Interventions,EX,DOSFRQ,EXDOSFRQ,Dosing Frequency Per Interval,Char,(FREQ),Variable Qualifier,"Usually expressed as the number of repeated administrations of EXDOSE within a specific time period. Examples: QD (once daily), BID (2x daily).",Req
13,Interventions,EX,ROUTE,EXROUTE,Route of Administration,Char,(ROUTE),Variable Qualifier,"Route of administration for EXTRT. Examples: ORAL GAVAGE, DERMAL, INTRAVENOUS.",Req
14,Interventions,EX,LOT,EXLOT,Lot Number,Char,,Record Qualifier,"Lot Number(s) or Batch Number(s) of the EXTRT test article. If mixed lots of the test article are administered during the same constant dosing interval, this should be represented as ""Lot A;Lot B."" Mixed lots are produced by the mixing of Lots a and B of the test article into one solution, suspension, or dietary food concentration. If no test article was administered, EXLOT should be null.",Exp
15,Interventions,EX,LOC,EXLOC,Location of Dose Administration,Char,,Record Qualifier,Specifies anatomical location (site) of administration. Example: LEFT HINDLIMB for a topical application or an injection site number. Each administration will require its own record.,Perm
16,Interventions,EX,METHOD,EXMETHOD,Method of Administration,Char,,Record Qualifier,Method of the dose administration. Example: INFUSION.,Perm
17,Interventions,EX,TRTV,EXTRTV,Treatment Vehicle,Char,,Record Qualifier,Describes vehicle used for treatment. Example: SALINE.,Exp
18,Interventions,EX,VAMT,EXVAMT,Amount Administered,Num,,Record Qualifier,The amount (volume or weight) of the treatment compound plus vehicle administered in a single dose. This is not to be confused with EXDOSE. EXDOSE refers to the amount of test material administered to the subject.,Perm
19,Interventions,EX,VAMTU,EXVAMTU,Amount Administered Units,Char,(UNIT),Variable Qualifier,Units for EXVAMT (per dose administration).,Perm
20,Interventions,EX,ADJ,EXADJ,Reason for Dose Adjustment,Char,,Record Qualifier,"Describes reason or explanation of why a dose is adjusted - used only when an adjustment is represented in EX. May be used for variations from protocol-specified doses or changes from expected doses (e.g., when dose is adjusted due to toxicity).",Perm
21,Interventions,EX,STDTC,EXSTDTC,Start Date/Time of Treatment,Char,ISO 8601,Timing,"Date/Time when administration of the treatment indicated by EXTRT and EXDOSE began, in ISO 8601 format.",Exp
22,Interventions,EX,ENDTC,EXENDTC,End Date/Time of Treatment,Char,ISO 8601,Timing,"Date/Time when administration of the treatment indicated by EXTRT and EXDOSE ended, in ISO 8601 format.",Perm
23,Interventions,EX,STDY,EXSTDY,Study Day of Start of Treatment,Num,,Timing,"Study day when administration of the treatment began, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
24,Interventions,EX,ENDY,EXENDY,Study Day of End of Treatment,Num,,Timing,"Study day when administration of the treatment ended, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
25,Interventions,EX,DUR,EXDUR,Duration of Treatment,Char,ISO 8601,Timing,"Duration and unit of time for a continuous treatment. This may be used to denote the length of an infusion (e.g., PT10M to indicate 10 minutes).",Perm
26,Interventions,EX,TPT,EXTPT,Planned Time Point Name,Char,,Timing,"Text description of time when a dose should be given. Note: This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See EXTPTNUM and EXTPTREF.",Perm
27,Interventions,EX,TPTNUM,EXTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of EXTPT to aid in sorting.,Perm
